borrower_id,age,gender,state,borrower_segment,recharge_freq_30d,recharge_avg_amount_inr,recharge_amount_cv,upi_active_days_30d,upi_monthly_txn_count,job_app_sessions_per_week,sim_tenure_months,elec_payment_delay_days,elec_bill_variance_pct,water_gas_bill_available,water_gas_payment_delay_days,rent_receipt_streak_months,rent_amount_cv,declared_monthly_income_inr,sms_avg_monthly_credit_inr,sms_avg_monthly_debit_inr,sms_debit_to_credit_ratio,sms_credit_regularity_score,gig_payment_inflows_monthly_inr,gig_income_trend,income_declaration_ratio,salary_slip_available,salary_slip_net_income_inr,salary_slip_months_count,employer_verified,rental_agreement_available,rental_agreement_tenure_months,rental_amount_match_utility,utility_bill_available,utility_address_match_id,id_verified,id_type,id_address_match_score,behavioral_score_0_100,household_score_0_100,income_score_0_100,document_score_0_100,credit_score,risk_category,loan_approved,loan_amount_eligible_inr,default_label
BRW-00261,42,F,Tamil Nadu,Gig Worker,2,200.62425894982496,0.2716307309990609,29.0,33.0,1,21,7,0.132,1,19.0,7,0.197,28936,18238.901430386344,13541.45420998802,0.6,0.8607274600322603,21474,Stable,1.434,0,,,0,0,,,1,1,1,Aadhaar,0.793,69.1,60.7,57.6,41.7,487,Very High Risk,0,0,0
BRW-00262,37,M,Maharashtra,Unbanked Rural,2,199.53511538319808,0.7528848925659023,,,0,25,11,0.315,1,33.0,1,0.286,15019,2873.672820954395,6445.934898715327,0.817,0.4469446621061826,1404,Declining,2.66,1,11324.0,3.0,1,1,34.0,1.0,0,0,0,Aadhaar,0.2094001203938541,35.2,32.2,17.7,74.4,407,Very High Risk,0,0,1
BRW-00263,41,F,Maharashtra,Formal Salaried,4,445.03975427534397,0.10621767442239481,24.0,32.0,0,38,2,0.142,1,3.0,17,0.048,97282,58288.66402894738,50702.220935045196,0.561,0.6662800702463624,2047,Declining,1.153,1,78238.0,2.0,1,0,,,1,1,0,PAN+Aadhaar,0.2504436603319847,82.8,90.4,91.1,78.8,761,Low Risk,1,2334768,0
BRW-00264,27,M,Gujarat,Gig Worker,2,250.79247363565594,0.3252638244138704,27.0,66.0,4,41,-2,0.262,1,12.0,3,0.089,37768,32682.66394993951,28444.557889871463,0.83,0.5871456925415122,11431,Growing,1.272,0,,,0,0,,,1,1,1,PAN+Aadhaar,0.812,67.9,73.3,66.5,41.8,558,High Risk,0,0,0
BRW-00265,40,Other,Tamil Nadu,Unbanked Rural,2,77.65961673468706,0.7178366471586731,,,0,7,1,0.479,0,,1,0.385,13325,4669.41195187906,10250.785756209521,1.009,0.37472003725663156,1818,Stable,1.643,0,,,0,0,,,0,0,1,Aadhaar,0.792,31.7,43.4,31.5,21.7,300,Very High Risk,0,0,1
BRW-00266,26,M,Tamil Nadu,Self-Employed,4,305.1290718531418,0.13028344322333096,19.0,27.0,0,80,0,0.066,1,-4.0,14,0.074,130299,98048.47070122552,72379.3137762165,0.754,0.52325570796986,7304,Stable,1.407,0,,,0,1,9.0,0.0,1,1,1,PAN+Aadhaar,0.918,81.7,98.8,69.4,56.7,673,Medium Risk,1,1563588,0
BRW-00267,24,M,Karnataka,Self-Employed,3,310.1806944792569,0.22482223773426782,24.0,12.0,1,25,0,0.134,0,,16,0.087,24486,16022.59828685967,8752.824100527845,0.623,0.45771861863900215,5894,Growing,1.203,0,,,0,0,,,1,1,1,PAN+Aadhaar,0.855,71.8,80.0,53.2,42.0,538,High Risk,0,0,0
BRW-00268,22,F,Rajasthan,Self-Employed,4,212.76016211999647,0.35860474164003564,20.0,19.0,1,53,3,0.162,1,8.0,17,0.03,102021,91975.32442856053,82341.05697218303,0.787,0.7664645563134392,14331,Growing,1.13,0,,,0,0,,,1,1,1,Passport,0.884,78.6,86.6,88.7,42.2,632,Medium Risk,1,1224252,0
BRW-00269,36,M,Rajasthan,Informal Salaried,2,420.4620822740481,0.5529395902691413,17.0,21.0,6,55,-1,0.156,0,,8,0.107,24328,16615.52529593759,12405.293455090083,0.835,0.7394466120187756,3505,Stable,1.483,0,,,0,1,32.0,1.0,0,0,0,PAN+Aadhaar,0.409,56.6,69.8,51.3,16.6,407,Very High Risk,0,0,1
BRW-00270,55,Other,Tamil Nadu,Informal Salaried,3,251.77163034057537,0.2777543969589629,12.0,11.0,4,9,15,0.234,1,-5.0,2,0.165,30107,25313.124279195337,17656.916594886472,0.776,0.4875567524389326,5769,Stable,1.218,1,24443.0,5.0,1,1,20.0,0.0,1,1,1,PAN+Aadhaar,0.965,47.6,36.1,59.6,98.4,606,High Risk,1,180642,0
BRW-00271,56,Other,Tamil Nadu,Self-Employed,5,287.3027512678669,0.20009199030159922,23.0,24.0,1,83,9,0.17,0,,11,0.091,39112,25853.873519240016,19421.02318482758,0.653,0.681371176066598,9827,Stable,1.393,0,,,0,0,,,1,1,0,Aadhaar,0.09509043987415142,88.8,45.1,55.9,41.7,525,High Risk,0,0,1
BRW-00272,46,F,Gujarat,Self-Employed,5,311.6170300339129,0.2802515966977152,27.0,10.0,2,28,0,0.115,1,0.0,6,0.024,71697,37702.944559739124,24002.916409517245,0.523,0.5162119428697066,2477,Stable,1.739,0,,,0,1,21.0,1.0,1,1,1,PAN+Aadhaar,0.84,83.3,83.3,55.8,56.2,588,High Risk,1,430182,0
BRW-00273,45,M,Tamil Nadu,Unbanked Rural,2,88.59124283404603,0.7534926020658568,,,0,22,28,0.512,0,,1,0.264,7558,2266.269394131262,2825.363860215811,1.036,0.32757338443556666,1982,Declining,2.854,0,,,0,1,20.0,1.0,1,1,1,Driving Licence,0.768,35.6,11.1,13.0,55.8,343,Very High Risk,0,0,1
BRW-00274,33,F,UP,Unbanked Rural,1,58.22413693905818,0.48443028972441515,4.0,0.0,1,27,1,0.536,0,,1,0.126,11846,7948.353524610395,7798.722532134484,0.955,0.371558537422236,927,Declining,1.635,0,,,0,0,,,0,0,1,Aadhaar,0.784,38.2,42.4,31.4,21.6,300,Very High Risk,0,0,1
BRW-00275,39,M,Karnataka,Gig Worker,3,192.845383701321,0.4061551084724867,26.0,46.0,3,32,8,0.151,1,-1.0,3,0.249,47280,49205.97414997827,29283.5274885754,0.805,0.38534197783771307,22606,Stable,1.116,0,,,0,0,,,1,1,1,Aadhaar,0.916,70.7,47.0,74.2,42.4,538,High Risk,0,0,1
BRW-00276,36,M,Delhi,Gig Worker,3,173.89463034685116,0.17175467382775406,25.0,30.0,1,21,8,0.265,0,,4,0.229,41576,21588.910690823224,22344.516915664273,0.789,0.5601164407262712,42025,Stable,1.456,0,,,0,0,,,0,0,0,PAN+Aadhaar,0.3264064682988385,71.7,29.8,57.2,22.4,401,Very High Risk,0,0,1
BRW-00277,37,F,Tamil Nadu,Self-Employed,5,343.30724477765295,0.12755808072514763,24.0,26.0,0,44,4,0.071,1,-1.0,15,0.022,70100,40664.72754039659,35266.47581494848,0.734,0.6536012473770818,7938,Growing,1.706,0,,,0,1,23.0,1.0,1,1,1,Aadhaar,0.919,90.7,84.6,66.0,56.7,669,Medium Risk,1,841200,0
BRW-00278,48,M,UP,Gig Worker,4,169.6585343701237,0.3020570571075389,26.0,24.0,4,36,1,0.264,1,2.0,3,0.222,30702,23760.851872815332,18729.476719318096,0.605,0.4498843668694744,34087,Growing,1.343,1,26018.0,5.0,1,0,,,1,1,1,Aadhaar,0.888,77.6,69.8,54.9,83.6,675,Medium Risk,1,368424,0
BRW-00279,29,M,Karnataka,Self-Employed,3,279.60560202297154,0.1817659518675888,15.0,16.0,0,58,-14,0.081,1,5.0,15,0.112,41320,39655.84917986627,37282.66042727224,0.684,0.6443626436756394,12693,Stable,1.08,0,,,0,1,14.0,1.0,1,1,1,Aadhaar,0.988,72.6,98.6,78.3,57.1,661,Medium Risk,1,495840,0
BRW-00280,46,Other,Gujarat,Self-Employed,3,473.0581394531197,0.16126177886956164,23.0,28.0,0,17,-3,0.067,1,-1.0,8,0.055,103973,93198.19039828198,77184.12654083979,0.788,0.5022750570310317,3532,Stable,1.153,0,,,0,1,6.0,1.0,1,1,0,Aadhaar,0.23447111259251371,69.2,89.0,80.1,56.4,663,Medium Risk,1,1247676,1
BRW-00281,38,M,Karnataka,Unbanked Rural,1,84.14584659885952,0.5602558291026557,,,0,9,6,0.457,0,,0,0.316,16197,9425.82863879229,9710.768339912594,0.811,0.4442502603277673,338,Declining,1.58,0,,,0,0,,,0,0,1,Aadhaar,0.862,29.9,23.7,33.8,22.1,300,Very High Risk,0,0,1
BRW-00282,50,M,Delhi,Informal Salaried,4,353.6445630729669,0.33707779567823093,20.0,19.0,6,12,-2,0.242,1,11.0,9,0.116,10193,8558.364125759868,10627.359804681684,0.939,0.6681175665537845,548,Declining,1.257,0,,,0,1,33.0,1.0,1,1,1,Passport,0.812,59.7,88.4,51.1,56.1,566,High Risk,0,0,1
BRW-00283,29,F,Tamil Nadu,Informal Salaried,4,239.47256499869667,0.2534054419454978,21.0,7.0,2,39,5,0.372,0,,9,0.148,35317,32169.956004834406,19980.823356060228,0.806,0.4279852055324447,7177,Declining,1.234,1,26315.0,5.0,1,1,28.0,1.0,1,1,1,PAN+Aadhaar,0.775,76.1,50.8,61.2,97.3,651,Medium Risk,1,423804,0
BRW-00284,36,M,Karnataka,Formal Salaried,5,556.9045964207143,0.09939110241501577,29.0,51.0,0,70,-3,0.067,1,-2.0,11,0.017,114879,113197.40150256355,77159.54024130812,0.622,0.7740046057124823,601,Growing,1.043,1,99761.0,6.0,1,0,,,1,1,1,Aadhaar,0.887,97.0,96.4,97.6,85.1,838,Low Risk,1,2757096,0
BRW-00285,48,F,Delhi,Gig Worker,2,246.14532899685665,0.4419367914859124,26.0,31.0,5,19,-2,0.143,1,7.0,1,0.115,44144,33938.613152393875,26627.824723417947,0.749,0.9891052584928092,19386,Stable,1.432,0,,,0,0,,,0,0,1,Aadhaar,0.829,57.6,70.5,66.3,21.9,443,Very High Risk,0,0,1
BRW-00286,28,Other,Tamil Nadu,Formal Salaried,4,508.6362831122294,0.15392764722724522,20.0,44.0,0,33,-5,0.085,0,,6,0.021,87326,103612.74680935135,83677.76657282957,0.75,0.7466498688767409,857,Growing,1.01,1,67628.0,2.0,1,0,,,0,0,1,Aadhaar,0.881,77.6,66.1,99.6,59.3,712,Medium Risk,1,1047912,0
BRW-00287,24,F,Delhi,Gig Worker,4,428.5436660022187,0.2887353374498409,18.0,39.0,1,14,-2,0.18,0,,5,0.079,26612,12263.697870212669,11025.371071673515,0.733,0.645727148714269,19269,Stable,1.367,0,,,0,1,26.0,1.0,1,1,1,Passport,0.802,64.9,62.0,52.5,56.0,539,High Risk,0,0,1
BRW-00288,50,F,Gujarat,Gig Worker,3,322.76853500865,0.3096172380937793,26.0,56.0,1,15,8,0.156,0,,3,0.216,34307,27987.771231344013,14925.932219906059,0.781,0.6844237448920252,32718,Growing,1.457,0,,,0,0,,,1,1,1,Aadhaar,0.96,67.7,29.3,54.0,42.6,478,Very High Risk,0,0,0
BRW-00289,45,M,Delhi,Informal Salaried,3,354.3871958377313,0.5701472343044561,20.0,7.0,7,22,0,0.308,1,10.0,3,0.102,37830,24077.253452299243,18669.499060887298,0.825,0.4937269218454303,7632,Declining,1.679,1,32319.0,1.0,1,1,7.0,1.0,1,1,1,Driving Licence,1.0,53.4,72.5,43.5,92.9,661,Medium Risk,1,453960,1
BRW-00290,24,M,Maharashtra,Gig Worker,3,261.45562838001,0.2247985056613606,23.0,28.0,1,17,-1,0.247,1,-3.0,3,0.13,34623,20418.633078978397,21934.675589077488,0.777,0.7579968545413801,20189,Declining,1.319,0,,,0,1,20.0,1.0,1,1,1,Aadhaar,0.831,67.2,73.6,57.8,56.2,582,High Risk,1,207738,0
BRW-00291,41,F,Delhi,Formal Salaried,3,425.25276794903357,0.13205152655583,23.0,55.0,0,87,-3,0.131,1,0.0,14,0.045,50249,56496.33799279387,34845.2187606991,0.584,0.9606001361826362,1222,Growing,1.032,1,37300.0,2.0,0,0,,,1,1,1,Voter ID,0.961,80.4,97.7,93.9,68.3,793,Low Risk,1,1205976,0
BRW-00292,36,F,Tamil Nadu,Formal Salaried,4,336.9124112772947,0.21317117719040463,26.0,53.0,0,36,0,0.146,1,-1.0,21,0.025,103765,92037.26322279594,61761.17800893224,0.56,1.0948644877287441,2313,Stable,1.038,1,83072.0,6.0,1,0,,,0,0,0,Aadhaar,0.04355314505389972,82.4,97.4,92.3,65.5,777,Low Risk,1,2490360,0
BRW-00293,46,F,Delhi,Self-Employed,5,223.8421765116592,0.26740192903000076,19.0,35.0,0,52,2,0.103,1,3.0,10,0.074,111810,60384.342555694566,33856.71169678591,0.548,0.5827574237434071,6485,Stable,1.755,0,,,0,1,26.0,1.0,1,1,1,Aadhaar,0.999,84.8,86.2,68.9,57.1,661,Medium Risk,1,1341720,0
BRW-00294,51,M,Rajasthan,Informal Salaried,2,154.5396400342114,0.23156035283347012,19.0,6.0,3,58,-19,0.315,0,,4,0.193,14566,9435.669384909124,8775.7508327939,0.771,0.513448019796534,7408,Stable,1.387,0,,,0,0,,,0,0,1,Aadhaar,0.836,67.5,57.2,44.3,21.9,404,Very High Risk,0,0,1
BRW-00295,35,M,Delhi,Formal Salaried,5,238.3490426960391,0.21448039844506103,26.0,37.0,0,46,1,0.071,0,,23,0.044,102131,95709.35961826879,58686.80318793919,0.613,1.0778697459426028,1509,Stable,1.132,1,74321.0,3.0,1,0,,,1,1,1,PAN+Aadhaar,0.939,90.9,77.6,95.6,81.1,786,Low Risk,1,2451144,0
BRW-00296,28,M,UP,Gig Worker,4,374.67111673289526,0.19974953388374253,25.0,42.0,5,11,10,0.229,1,1.0,5,0.084,43602,29369.34516171901,36296.28241305029,0.772,0.695616844441541,20866,Stable,1.251,0,,,0,1,19.0,1.0,0,0,1,Aadhaar,0.807,67.9,43.5,72.3,36.0,501,Very High Risk,0,0,1
BRW-00297,38,F,UP,Self-Employed,3,283.02282609386634,0.2788340095060371,22.0,36.0,2,70,-5,0.145,1,2.0,14,0.067,58377,52202.08398666613,30137.487408567536,0.66,0.6618808770643098,14573,Declining,1.32,0,,,0,1,26.0,1.0,1,1,1,Aadhaar,0.906,76.0,97.4,70.0,56.6,657,Medium Risk,1,700524,0
BRW-00298,41,M,Maharashtra,Informal Salaried,4,192.40716193172767,0.4004567888159535,10.0,20.0,6,30,-2,0.398,0,,2,0.196,29597,23152.625269709217,15605.178062192334,0.71,0.6164322242710101,3406,Declining,1.243,0,,,0,1,33.0,1.0,1,1,1,Voter ID,0.926,53.9,50.8,58.5,56.7,525,High Risk,0,0,0
BRW-00299,57,F,Delhi,Gig Worker,4,362.74645779558614,0.18693803001546863,25.0,28.0,5,29,0,0.24,1,1.0,4,0.124,52876,40860.84647004062,29288.37877121804,0.61,0.5640437162484324,16553,Stable,1.2,0,,,0,0,,,0,0,1,Aadhaar,0.935,73.8,76.2,80.4,22.5,518,Very High Risk,0,0,1
BRW-00300,30,F,Tamil Nadu,Formal Salaried,3,445.6231451446831,0.25453687215806486,25.0,27.0,1,33,-4,0.144,1,4.0,13,0.019,64551,73889.93520327382,38234.8595237349,0.573,0.5208041011963735,533,Declining,1.005,1,50975.0,4.0,1,1,15.0,1.0,1,1,1,Aadhaar,0.802,75.1,97.5,93.1,96.0,805,Low Risk,1,1549224,0
BRW-00301,43,M,UP,Formal Salaried,5,456.8357886332404,0.040231319013660324,23.0,42.0,0,69,-1,0.129,1,0.0,22,0.01,72926,67592.15297264523,31606.525843404273,0.638,0.746139029400761,2985,Declining,1.01,1,60405.0,6.0,1,1,19.0,1.0,1,1,1,Voter ID,0.962,92.1,97.7,91.7,99.8,850,Low Risk,1,1750224,0
BRW-00302,23,F,Delhi,Gig Worker,3,186.51113558201322,0.39400216770845026,29.0,46.0,3,21,-9,0.279,1,3.0,5,0.073,39678,36257.70665667844,18281.591368382207,0.602,0.7346671798218283,35860,Stable,1.302,0,,,0,0,,,0,0,1,PAN+Aadhaar,0.855,69.0,77.9,67.9,22.0,513,Very High Risk,0,0,1
BRW-00303,45,M,Rajasthan,Gig Worker,4,199.41830371915364,0.30700047486374277,25.0,36.0,2,11,-4,0.259,0,,4,0.198,37214,27518.086759769667,16645.731737408558,0.738,0.5292510859615154,23120,Growing,1.617,0,,,0,0,,,1,1,1,Voter ID,0.804,69.4,58.2,45.2,41.7,488,Very High Risk,0,0,1
BRW-00304,29,F,Karnataka,Gig Worker,3,187.36078164659466,0.15854935053181798,20.0,57.0,4,42,11,0.181,1,-5.0,6,0.204,53599,31300.042182377576,26675.27423707186,0.701,0.9452671053256484,38575,Stable,1.255,1,39353.0,5.0,1,0,,,1,1,1,Aadhaar,0.886,70.1,46.8,79.4,83.6,665,Medium Risk,1,643188,0
BRW-00305,32,F,Rajasthan,Self-Employed,5,337.4938263917858,0.13767514761506347,27.0,13.0,1,15,-4,0.1,1,-3.0,9,0.117,118345,112809.93333812717,77390.6631472168,0.694,0.9252410448678757,8202,Declining,1.282,0,,,0,1,7.0,1.0,0,0,1,Aadhaar,0.966,81.4,90.9,84.5,36.9,599,High Risk,1,710070,0
BRW-00306,34,F,Tamil Nadu,Unbanked Rural,1,159.19635603692794,0.9453969269504873,4.0,0.0,1,35,28,0.348,0,,0,0.332,16186,5317.559934832665,6208.536818271207,0.98,0.27499235578867387,634,Stable,2.154,0,,,0,0,,,0,0,1,Aadhaar,0.992,35.1,11.5,16.4,22.8,300,Very High Risk,0,0,1
BRW-00307,38,F,UP,Gig Worker,2,452.4453524144117,0.1336721373913303,23.0,37.0,1,33,4,0.084,0,,1,0.099,42794,37698.48249040913,22336.393752057364,0.67,0.5425848395758327,35505,Stable,1.401,0,,,0,0,,,0,0,0,Passport,0.352,69.3,39.8,64.8,2.0,350,Very High Risk,0,0,1
BRW-00308,29,M,Maharashtra,Informal Salaried,4,191.16027178002633,0.3371558933711134,20.0,23.0,6,43,-9,0.257,0,,11,0.056,32593,37967.18555242775,19376.547856824047,0.739,0.396923632370044,5967,Growing,1.207,1,25721.0,1.0,1,1,17.0,1.0,1,1,1,Passport,0.751,71.8,75.4,60.3,91.4,724,Low Risk,1,782232,0
BRW-00309,42,M,Karnataka,Self-Employed,3,298.667304060603,0.1586742663654256,21.0,18.0,0,52,3,0.151,1,-3.0,6,0.119,80334,61321.5218666532,31845.45682120656,0.597,0.627542788976693,7502,Declining,1.539,0,,,0,1,7.0,1.0,1,1,0,Driving Licence,0.16598305804512936,78.5,72.0,76.8,55.9,609,High Risk,1,482004,0
BRW-00310,39,F,Karnataka,Informal Salaried,4,180.19961361165272,0.4529497522171382,13.0,17.0,6,33,4,0.258,1,10.0,7,0.101,38864,14252.624631991599,19002.946382378457,0.7,0.638464392680223,361,Declining,1.55,1,32905.0,3.0,1,0,,,1,1,0,Aadhaar,0.15930028976265462,58.7,69.1,55.0,80.1,636,Medium Risk,1,466368,0
BRW-00311,51,M,Bihar,Informal Salaried,2,191.48262849243392,0.3860970694767662,13.0,12.0,2,22,1,0.392,0,,11,0.097,21561,21934.342633306984,9750.219081897421,0.73,0.4530523066676252,616,Stable,1.192,1,17363.0,1.0,1,0,,,1,1,1,Voter ID,0.775,50.4,69.5,50.2,77.3,611,High Risk,1,129366,0
BRW-00312,39,M,Maharashtra,Formal Salaried,4,522.456368871155,0.07578205076663007,26.0,59.0,0,31,-1,0.138,1,-5.0,12,0.045,89893,131841.86730941254,69684.54915322096,0.738,0.7524666066362404,2366,Stable,0.988,1,75435.0,4.0,1,1,9.0,1.0,1,1,1,Aadhaar,0.846,83.8,97.6,96.5,96.3,843,Low Risk,1,2157432,0
BRW-00313,52,M,Tamil Nadu,Formal Salaried,5,267.5086698375941,0.08720737880207866,25.0,29.0,0,88,0,0.041,1,-1.0,12,0.029,72636,58190.740999675414,54696.261962807905,0.606,0.9610313387426231,2470,Declining,1.173,1,56892.0,1.0,1,1,12.0,1.0,1,1,1,PAN+Aadhaar,0.835,92.0,99.3,92.4,91.9,850,Low Risk,1,1743264,0
BRW-00314,53,F,Gujarat,Unbanked Rural,2,69.42676021986524,0.5576742729015376,,,0,23,22,0.348,1,12.0,3,0.164,8689,5324.784159599946,3871.575293893962,1.048,0.16086120437577153,1356,Stable,1.62,0,,,0,0,,,1,1,1,Voter ID,0.778,46.8,36.5,19.4,41.6,371,Very High Risk,0,0,0
BRW-00315,32,M,Maharashtra,Self-Employed,4,370.1448891020627,0.16047902548388787,15.0,21.0,2,62,5,0.135,1,3.0,16,0.109,60363,29264.798949048854,21202.861835660486,0.559,0.8136770022266698,12586,Declining,1.572,1,42514.0,5.0,1,0,,,1,1,1,Aadhaar,0.971,75.5,80.0,68.5,84.1,717,Medium Risk,1,724356,0
BRW-00316,46,F,UP,Self-Employed,5,447.6233185058201,0.2523545833867011,24.0,23.0,2,76,2,0.122,1,-3.0,12,0.119,75959,74530.59907780749,66672.27906441169,0.776,0.41268878851844676,10792,Stable,1.083,0,,,0,0,,,0,0,1,Aadhaar,0.904,88.2,90.8,82.2,22.3,577,High Risk,0,0,0
BRW-00317,54,Other,Delhi,Informal Salaried,3,178.89997427878865,0.3618787879432631,22.0,8.0,5,34,-6,0.34,1,17.0,9,0.063,24687,22159.033669416942,16420.17513476188,0.876,0.6353614654724182,7175,Stable,1.397,1,17996.0,3.0,1,0,,,1,1,0,Aadhaar,0.13940058439147243,63.8,86.6,49.6,81.1,657,Medium Risk,1,296244,1
BRW-00318,29,M,Gujarat,Formal Salaried,5,274.59832376258424,0.09047177685739222,26.0,47.0,0,69,-3,0.088,0,,13,0.043,115917,126460.1360118515,79599.68471469262,0.631,1.1315868866769225,451,Stable,1.045,1,85046.0,1.0,1,1,16.0,1.0,0,0,1,Voter ID,0.843,94.4,80.8,92.1,72.0,750,Low Risk,1,2782008,0
BRW-00319,32,M,Bihar,Formal Salaried,4,274.7061630342341,0.12686581447250572,26.0,38.0,0,47,6,0.094,1,-2.0,21,0.02,119125,192736.64228635677,39304.125285068105,0.633,0.9474089669404706,1163,Stable,1.006,1,92742.0,1.0,1,0,,,0,0,1,Aadhaar,0.853,88.8,77.2,96.6,57.7,696,Medium Risk,1,1429500,0
BRW-00320,43,M,Bihar,Informal Salaried,4,213.94655341035318,0.34005236809575845,20.0,8.0,4,20,10,0.356,1,4.0,9,0.129,11120,6851.963016293636,6407.756234201441,0.841,0.28001932623090636,3712,Declining,1.634,1,8668.0,3.0,1,1,16.0,1.0,0,0,1,Aadhaar,0.829,64.5,51.1,38.0,74.7,562,High Risk,0,0,0
BRW-00321,45,F,Delhi,Gig Worker,4,325.33679088114775,0.48730788615348236,24.0,60.0,5,23,16,0.257,0,,6,0.233,31491,13744.157199639654,14499.26464647486,0.839,0.8175552239381443,19013,Declining,1.544,0,,,0,0,,,0,0,1,Driving Licence,0.86,66.5,27.8,50.3,22.1,346,Very High Risk,0,0,1
BRW-00322,38,M,Tamil Nadu,Self-Employed,3,498.7245021090222,0.3291392421431709,21.0,19.0,1,41,6,0.076,1,-1.0,11,0.117,63638,58649.15275952675,38252.355958136985,0.635,0.6059125634853865,10880,Declining,1.122,0,,,0,0,,,0,0,1,Aadhaar,0.903,72.0,75.0,86.9,22.3,478,Very High Risk,0,0,1
BRW-00323,33,M,Delhi,Gig Worker,4,225.09308001110767,0.5141385237085901,27.0,55.0,2,39,3,0.237,0,,3,0.102,54062,19195.246674824244,22790.041758779982,0.617,1.0259186318979918,41760,Growing,1.455,0,,,0,0,,,0,0,0,Aadhaar,0.26077259184207713,79.8,45.5,67.8,22.1,449,Very High Risk,0,0,1
BRW-00324,53,M,Maharashtra,Informal Salaried,4,288.0721930305937,0.2867032592735446,23.0,24.0,4,47,7,0.231,1,3.0,7,0.082,15193,11430.787056271709,14780.838715621445,0.794,0.4942407094019518,3299,Stable,1.187,1,10995.0,6.0,1,0,,,1,1,1,PAN+Aadhaar,0.959,78.3,59.0,48.0,85.5,645,Medium Risk,1,182316,0
BRW-00325,36,F,Gujarat,Unbanked Rural,2,169.5787438280614,0.21787270450008953,8.0,5.0,0,12,13,0.318,0,,0,0.124,12224,7416.658152808797,5289.328660743139,0.852,0.20090713794445897,1883,Stable,2.184,0,,,0,1,17.0,1.0,1,1,1,Voter ID,0.975,44.3,12.0,14.6,57.0,351,Very High Risk,0,0,1
BRW-00326,37,M,Tamil Nadu,Self-Employed,5,267.6567208893568,0.18126079707391213,23.0,18.0,0,38,-8,0.06,0,,17,0.076,35213,21262.193632256938,16171.350273735294,0.829,0.24480422933744006,7751,Declining,1.764,0,,,0,1,15.0,0.0,1,1,1,Aadhaar,0.867,86.3,81.3,36.2,56.4,580,High Risk,1,211278,0
BRW-00327,43,F,UP,Gig Worker,2,231.49414542229616,0.2735205074778833,26.0,64.0,4,29,2,0.187,1,10.0,8,0.053,29230,24396.089071797844,13073.294800939886,0.795,0.6081958909288567,27333,Stable,1.241,0,,,0,1,13.0,1.0,1,1,1,PAN+Aadhaar,0.81,66.2,79.8,54.6,56.1,586,High Risk,1,175380,1
BRW-00328,49,F,Karnataka,Gig Worker,3,350.3458976313728,0.2601742335861708,19.0,63.0,1,40,9,0.158,0,,4,0.132,33423,31543.380930157837,14546.105660014447,0.614,0.5763974306705905,30208,Declining,1.445,0,,,0,0,,,1,1,1,Aadhaar,0.986,70.4,28.2,49.0,42.8,458,Very High Risk,0,0,1
BRW-00329,41,M,Bihar,Informal Salaried,3,350.1089130346763,0.40213773260667646,22.0,15.0,6,44,0,0.175,0,,5,0.061,27187,15289.204670230658,14555.742904315717,0.773,1.0549987573219366,2146,Declining,1.682,0,,,0,0,,,1,1,1,PAN+Aadhaar,0.934,65.9,62.1,45.7,42.5,476,Very High Risk,0,0,1
BRW-00330,54,F,Maharashtra,Informal Salaried,2,142.50419042510765,0.4369707720245307,22.0,16.0,3,13,8,0.308,1,5.0,11,0.111,20040,16987.06641620765,9509.29319311344,0.713,0.7466277483504598,3066,Stable,1.477,1,14065.0,2.0,1,1,24.0,1.0,0,0,1,Aadhaar,0.91,52.8,63.9,49.6,73.8,553,High Risk,0,0,1
BRW-00331,31,M,Delhi,Informal Salaried,3,241.80479144765243,0.41591012533770155,16.0,22.0,5,56,11,0.331,1,14.0,11,0.056,10766,9268.657704125577,7369.824700974585,0.907,0.42810451209931966,4425,Declining,1.192,0,,,0,0,,,1,1,1,Aadhaar,0.936,62.2,56.4,43.2,42.5,460,Very High Risk,0,0,1
BRW-00332,53,F,Delhi,Self-Employed,4,242.5036799139989,0.17633705115937917,21.0,39.0,0,29,-4,0.099,1,-4.0,15,0.104,49949,40139.458115375106,26993.053627861766,0.817,0.4626515770257126,14129,Declining,1.339,0,,,0,1,19.0,1.0,1,1,0,PAN+Aadhaar,0.3097494247831484,76.1,98.3,64.2,55.8,642,Medium Risk,1,599388,0
BRW-00333,54,F,Karnataka,Formal Salaried,4,633.4240908104006,0.21250578719909563,23.0,58.0,0,94,-3,0.026,1,1.0,10,0.01,33527,23321.072102633352,19726.13704767567,0.578,0.6764383804118135,1928,Declining,1.088,1,25990.0,1.0,1,0,,,1,1,1,Passport,0.767,85.1,94.6,74.9,77.2,782,Low Risk,1,804648,0
BRW-00334,23,F,Delhi,Formal Salaried,4,281.1160452737209,0.13887133974659516,28.0,51.0,0,62,-5,0.13,1,8.0,16,0.016,106557,90400.62927292324,76066.54026963176,0.66,0.8837320114549909,999,Stable,1.065,1,77012.0,1.0,1,1,6.0,1.0,1,1,1,Voter ID,0.788,91.3,97.7,96.9,91.6,850,Low Risk,1,2557368,0
BRW-00335,54,M,Delhi,Formal Salaried,3,393.6515801247981,0.039454471987384034,27.0,34.0,0,29,-4,0.021,1,3.0,18,0.044,113408,69651.10298254997,96295.9987257311,0.783,0.9120125904902403,31,Declining,1.173,1,86971.0,1.0,1,1,32.0,1.0,1,0,1,Driving Licence,0.787,79.6,99.6,91.2,83.1,758,Low Risk,1,2721792,0
